Date,Component Type,Click-Through Rate
2024-01-01,CPU,0.12
2024-01-02,GPU,0.18
2024-01-03,RAM,0.08
2024-01-04,SSD,0.15
2024-01-05,CPU,0.14
2024-01-06,GPU,0.20
2024-01-07,RAM,0.07
2024-01-08,SSD,0.13
2024-01-09,CPU,0.11
2024-01-10,GPU,0.17
2024-01-11,RAM,0.09
2024-01-12,SSD,0.16
2024-01-13,CPU,0.13
2024-01-14,GPU,0.19
2024-01-15,RAM,0.06
2024-01-16,SSD,0.14
2024-01-17,CPU,0.10
2024-01-18,GPU,0.16
2024-01-19,RAM,0.10
2024-01-20,SSD,0.17
2024-01-21,CPU,0.15
2024-01-22,GPU,0.21
2024-01-23,RAM,0.05
2024-01-24,SSD,0.12
2024-01-25,CPU,0.13
2024-01-26,GPU,0.18
2024-01-27,RAM,0.09
2024-01-28,SSD,0.15
2024-01-29,CPU,0.11
2024-01-30,GPU,0.17
2024-01-31,RAM,0.07